639,easy listening
639,lounge
639,swing
639,vocal jazz
640,atl hip hop
640,plugg
640,rap
640,trap
641,adult standards
641,american folk revival
642,celtic
642,celtic punk
642,celtic rock
642,folk punk
642,irish folk
642,punk
643,classic uk pop
643,new wave pop
643,rock-and-roll
643,rockabilly
643,soft rock
644,rock-and-roll
644,rockabilly
645,NA
646,NA
647,australian dance
647,australian pop
647,dance pop
647,electropop
647,eurodance
647,europop
647,new wave pop
647,pop
648,adult standards
648,brill building pop
648,easy listening
648,lounge
648,vocal jazz
649,NA
650,glam rock
650,mellow gold
650,piano rock
651,hip hop
651,ohio hip hop
651,pop rap
651,rap
652,forro
652,sertanejo
652,sertanejo pop
652,sertanejo universitario
653,sertanejo
653,sertanejo universitario
654,album rock
654,classic rock
654,mellow gold
654,rock
654,soft rock
654,yacht rock
655,NA
656,permanent wave
656,pop
657,dance pop
657,pop
657,post-teen pop
657,uk pop
658,australian dance
658,australian pop
658,dance pop
658,pop
659,dance pop
659,pop
659,post-teen pop
660,contemporary country
660,country
660,country road
660,modern country rock
661,boy band
661,dance pop
661,pop
661,post-teen pop
662,dance pop
662,pop
663,dance pop
663,hip pop
663,pop
663,post-teen pop
663,urban contemporary
664,detroit hip hop
664,hip hop
664,rap
665,NA
666,adult standards
666,canadian pop
666,jazz pop
666,lounge
667,hollywood
667,show tunes
668,pop
668,post-teen pop
669,motown
669,soul
670,adult standards
670,lounge
670,torch song
670,vocal jazz
671,soundtrack
672,pop
672,post-teen pop
673,NA
674,canadian pop
674,dance pop
674,pop
674,post-teen pop
674,viral pop
675,adult standards
675,easy listening
675,lounge
675,vocal jazz
676,classic rock
676,heartland rock
676,mellow gold
676,permanent wave
676,rock
676,singer-songwriter
677,british soul
677,dance pop
677,europop
677,pop
677,post-teen pop
677,talent show
678,NA
679,dance pop
679,pop
679,post-teen pop
680,dance pop
680,hip pop
680,pop
680,post-teen pop
681,adult standards
681,easy listening
681,lounge
681,vocal jazz
682,adult standards
682,easy listening
682,lounge
683,adult standards
683,easy listening
683,lounge
684,dance pop
684,pop
684,r&b
684,urban contemporary
685,adult standards
685,easy listening
685,lounge
685,swing
685,vocal jazz
686,a cappella
687,chicago soul
687,classic soul
687,funk
687,motown
687,neo soul
687,quiet storm
687,soul
687,southern soul
688,adult standards
688,easy listening
688,lounge
688,vocal jazz
689,pop
689,post-teen pop
690,dance pop
690,pop
690,post-teen pop
